position;restaurants;ratings;number_reviews;price_category;food_category
406;El Pelirrojo;5.0;30;€€ - €€€;Italiana,Pizza,Opciones vegetarianas,Opciones veganas
407;Ristobar Napule è;5.0;24;€;Italiana
408;La Baiona;5.0;21;€;Italiana,Café,Street food / Comida en la calle
409;La Tasca Boombeer;4.0;160;€€ - €€€;Española,Mediterránea,Europea,Opciones vegetarianas
410;La Campana;3.5;294;€;Mediterránea,Española
411;La Pala d´Oro;4.0;64;€€ - €€€;Italiana,Europea,Pizza,Mediterránea
412;El Marisqueo;3.5;241;€€ - €€€;Española
413;Woodstock Café Bar;4.5;31;€;Bar,Tienda gourmet,Pub,Fusión,Saludable,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
414;Ciao Pedregalejo 47;4.0;91;€€ - €€€;Italiana,Pizza,Mediterránea,Europea,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
415;Casilda Mediterranean Concept;4.5;46; ;Internacional,Mediterránea,Europea,Fusión
416;Dlorenzo Gelato;5.0;25;€;Italiana
417;decai;4.5;35;€;Opciones vegetarianas
418;De Cuchara;4.5;50;€;Mediterránea,Española,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
419;Bar Cafeteria El Yerno;4.0;106;€€ - €€€;Marisco,Mediterránea,Española
420;Chiringuito Sicsu;3.5;229;€€ - €€€;Marisco,Mediterránea,Barbacoa,Europea,Española,Asador
421;Restaurant El Brujo;4.5;58;€€ - €€€;Internacional,Opciones vegetarianas,Opciones veganas
422;Albahaca;4.5;40;€€ - €€€;Española,Opciones vegetarianas
423;Diboka;4.5;47;€;Opciones vegetarianas
424;RESTAURANTE EL NAVIO;4.0;94;€€ - €€€;Mediterránea,Española
425;The Shakespeare;4.5;28;€€ - €€€;Bar,Pub,Pub con cerveza artesanal
426;Focacceria romana;5.0;23;€;Italiana,Pizza,Marisco,Mediterránea,Opciones vegetarianas
427;Hamburguesa Nostra - Gourmet Experience Malaga;4.0;82;€€ - €€€;Internacional
428;Heladería Chocolate;4.5;38; ;
429;La Vikinga;4.0;51;€€ - €€€;Opciones vegetarianas
430;Cafe Del Viajero;4.0;83;€€ - €€€;Café,Española,Saludable
431;Gaucho I;4.5;48;€€ - €€€;Española,Asador,Barbacoa,Argentina,Sudamericana
432;Venta las Navas SL.;4.0;56;€€ - €€€;Opciones vegetarianas
433;Tako-Away;4.0;74;€;Mexicana,Latina,Comida rápida,Opciones vegetarianas,Opciones veganas
434;El Dandy;4.5;35; ;Pizza,Café,Española
435;La Trastienda;4.5;97;€€ - €€€;Mediterránea,Española
436;La Boheme;4.5;48;€€€€;Española,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
437;El Imperdible restaurante;4.0;161;€€ - €€€;Internacional,Mediterránea,Europea,Española,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
438;Yokohama;4.0;49;€€ - €€€;Japonesa,Opciones vegetarianas
439;Venta Cotrina;4.5;28; ;
440;Más Vermut;4.5;23;€€ - €€€;Bar,Española,Fusión
441;Dal Parmigiano;4.5;97;€€ - €€€;Italiana,Mediterránea,Europea,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
442;Er Pichi de Caí;4.0;99; ;
443;Tuk Tuk Noodles;4.0;167;€;Asiática,Tailandesa,De Asia central,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
444;Noray II;4.0;69;€€ - €€€;Marisco,Mediterránea,Española
445;El Cobertizo;4.5;61;€€ - €€€;Mediterránea
446;Bar mesón Paco;4.0;70;€;Española
447;Wok Directo;4.0;180;€€ - €€€;China,Japonesa,Sushi,Asiática,Opciones vegetarianas,Opciones veganas
448;Kosei Ramen;5.0;17; ;
449;Cafe Bar Thyssen;4.5;30;€€ - €€€;Café,Europea,Española
450;Restaurante DBandera;4.5;27;€€ - €€€;Española
451;Tuk Tuk Noodles Huelin;4.5;74;€;Asiática,Tailandesa,Saludable,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
452;La Flor Negra and Il Panino;4.5;26;€€ - €€€;Italiana,Café
453;La Calle Burger Pedregalejo;4.5;48;€;Americana,Opciones vegetarianas
454;Málaga Doramar;4.5;54; ;
455;El Cartuchito;5.0;23;€€ - €€€;Mediterránea,Marisco
456;Marisqueria Ababor;4.0;101;€€ - €€€;Marisco,Mediterránea
457;La Taberna del Pintxo Alcazaba;4.0;111;€€ - €€€;Mediterránea,Europea,Española
458;Circus;3.5;242;€€ - €€€;Italiana,Mediterránea,Europea,Opciones vegetarianas,Opciones veganas
459;Taberna el Tato;4.5;69;€€ - €€€;Mediterránea,Europea,Española,Opciones vegetarianas
460;Casa Bellota;4.5;40;€;Española
461;UDON Málaga;3.5;188;€€ - €€€;Japonesa,Asiática,Fusión,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
462;Ventorrillo Santa Clara;3.5;186;€€ - €€€;Española,Opciones vegetarianas
463;Casa Luque;4.5;48;€;Mediterránea,Española
464;Restaurante Palacios;4.5;40;€;Mediterránea,Española,Comedor
465;Restaurante Bar Oña 2;4.0;100;€;Española,Opciones vegetarianas
466;Cerveceria Los Palenos;4.5;28;€;Marisco,Española
467;Baires coffee & drinks;4.5;65;€€ - €€€;Bar,Café
468;Los Candiles;4.0;63;€€ - €€€;Mediterránea,Europea,Española,Opciones vegetarianas
469;The Sushi Bar;4.0;123;€€ - €€€;Japonesa,Sushi,Asiática,Opciones vegetarianas
470;MARICARMEN Casa - Playa;4.0;194;€€ - €€€;Americana,Café,Marisco,Española,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
471;20 de Abril;4.5;57;€€ - €€€;Española
472;El Taqueo;4.5;46;€€ - €€€;Mexicana
473;"Creperie-Pizzeria ""El Carajillo""";4.5;32;€€ - €€€;Italiana,Mediterránea,Pizza,Opciones vegetarianas
474;Restaurante El Palmeral;3.5;275;€€ - €€€;Mediterránea,Europea,Española,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
475;Quattro Tenori Restaurante Italiano;4.5;51; ;
476;Cafe de Paris;4.0;171;€€€€;Mediterránea,Europea,Española,Opciones vegetarianas
477;Bar Cerezo;4.5;37;€€ - €€€;Mediterránea,Europea,Española,Bar,Opciones vegetarianas
